carat,cut,color,clarity,depth,table,price,x,y,z
0.4,Premium,F,VS1,62.4,59,1050,4.69,4.67,2.92
2.19,Ideal,I,SI2,62.4,56,16147,8.26,8.3,5.17
2.09,Premium,F,SI2,61.3,59,12377,8.19,8.15,5.01
1.75,Good,D,SI1,63.8,57,12918,7.63,7.53,4.84
0.31,Very Good,E,VVS1,62.3,59,878,4.32,4.38,2.71
1.06,Ideal,H,VS2,62.3,53,6619,6.58,6.56,4.09
0.58,Ideal,I,VS2,61.8,55,1626,5.36,5.38,3.32
2.06,Premium,H,SI2,62.6,58,12677,8.06,8.03,5.04
0.3,Ideal,E,VS2,61.3,58,621,4.3,4.32,2.64
0.38,Very Good,G,VS1,60.7,55,1031,4.71,4.74,2.87
1.07,Ideal,I,VVS1,62.3,57,6685,6.56,6.6,4.1
0.84,Ideal,G,VS2,62,55,3936,6.07,6.09,3.77
0.52,Ideal,E,VS2,61.1,57,1815,5.2,5.18,3.17
1.12,Very Good,H,SI2,62.4,55,4538,6.63,6.68,4.15
0.57,Ideal,I,IF,61,55,1779,5.38,5.41,3.29
0.31,Very Good,H,VVS2,63.4,56,802,4.32,4.29,2.73
0.9,Good,F,VS2,62.7,59,4493,6.1,6.14,3.84
0.31,Ideal,G,VS1,62.1,55,802,4.36,4.33,2.7
1.02,Ideal,F,SI2,61.8,57,4832,6.49,6.43,3.99
1.5,Premium,F,VS2,61.5,58,14586,7.32,7.34,4.51
0.71,Ideal,G,VS1,61.7,57,3431,5.7,5.75,3.53
0.31,Very Good,G,VS1,63.1,59,802,4.29,4.27,2.7
0.39,Ideal,I,VVS2,62.3,54,787,4.66,4.69,2.91
0.9,Good,G,SI1,57.7,62,3226,6.29,6.23,3.61
1.02,Fair,D,SI2,65.5,60,4381,6.27,6.24,4.1
0.32,Ideal,H,VVS2,62.9,57,828,4.39,4.36,2.75
0.3,Ideal,E,VVS2,61.4,57,1013,4.34,4.32,2.66
2.01,Very Good,H,SI2,63.4,57,16111,8,7.93,5.05
1.11,Ideal,E,SI2,61.2,55,5262,6.68,6.72,4.1
1.01,Ideal,H,SI1,62.1,59,5189,6.38,6.43,3.98
1.23,Very Good,H,SI1,62.5,56,7313,6.79,6.82,4.25
1.01,Very Good,F,SI1,60.8,59,4869,6.49,6.53,3.96
0.7,Premium,F,SI1,62.5,59,2333,5.65,5.67,3.54
0.9,Very Good,H,VS1,62.2,59,4324,6.14,6.18,3.83
0.52,Good,G,VS1,63.3,55,1689,5.09,5.12,3.23
1.01,Premium,F,VS1,62.5,58,7465,6.37,6.42,4
1.01,Ideal,E,SI1,62.2,56,5068,6.43,6.4,3.99
0.67,Premium,G,VS2,61,57,2050,5.68,5.63,3.45
1.52,Ideal,G,VS2,62.8,54,13809,7.3,7.36,4.61
1.52,Premium,G,I1,62.3,60,4345,7.34,7.28,4.56
0.38,Good,H,VVS1,63.3,58,967,4.57,4.62,2.91
1,Premium,F,SI1,62.2,58,4586,6.39,6.35,3.96
0.42,Ideal,G,VVS1,61.6,55,1235,4.87,4.81,2.98
0.29,Ideal,F,VVS1,61.7,55,815,4.25,4.28,2.63
0.77,Ideal,E,VVS1,61.6,55,5251,5.87,5.95,3.64
0.9,Very Good,I,VS1,62.6,58,3447,6.14,6.17,3.85
0.76,Ideal,H,SI2,61.7,56,2404,5.88,5.86,3.62
1.1,Premium,E,SI2,60.1,62,4691,6.69,6.65,4.01
0.33,Very Good,I,VS1,63.1,56,668,4.4,4.38,2.77
0.72,Ideal,F,VS2,61.3,55,3495,5.78,5.83,3.56
0.33,Very Good,F,VVS2,61.1,56,739,4.46,4.48,2.73
1.57,Ideal,I,SI1,62,59,9095,7.41,7.45,4.61
0.55,Very Good,D,SI2,63.2,56,1368,5.24,5.21,3.3
1.01,Good,D,SI2,63.9,57,4588,6.29,6.36,4.04
0.42,Very Good,F,SI1,63.1,56,926,4.82,4.79,3.03
0.72,Ideal,E,VVS1,61.6,56,4702,5.75,5.77,3.55
1.01,Fair,F,VS2,64.8,56,4791,6.3,6.25,4.07
1.11,Premium,H,SI1,61.9,58,4960,6.63,6.59,4.09
0.38,Premium,J,VS2,60.5,60,727,4.68,4.64,2.82
0.7,Good,D,VS1,60.4,63,3193,5.68,5.74,3.45
0.33,Premium,D,SI2,62.7,58,492,4.39,4.41,2.76
1.75,Very Good,G,VS1,59.6,60,17036,7.76,7.9,4.67
0.35,Ideal,D,VS2,61.9,55,1063,4.54,4.5,2.8
0.29,Very Good,G,VVS1,61.4,56,607,4.25,4.28,2.62
0.5,Good,F,SI1,63.7,61,1125,5.02,4.99,3.19
0.7,Ideal,J,VVS2,62.7,56,1790,5.67,5.71,3.57
1.91,Very Good,G,SI1,63.1,59,15241,7.9,7.86,4.97
0.71,Very Good,I,VVS1,63.5,57,2456,5.65,5.68,3.6
0.72,Ideal,E,VS2,62.1,57,3235,5.73,5.76,3.57
2.57,Premium,E,SI2,61.3,60,17116,8.82,8.73,5.38
0.7,Very Good,I,VS2,60.8,61,2360,5.72,5.76,3.49
0.7,Very Good,G,VS1,63,60,2812,5.57,5.64,3.53
0.45,Good,G,VVS1,64,57,1254,4.86,4.82,3.1
0.3,Ideal,D,VS2,62.5,57,911,4.29,4.25,2.67
0.26,Ideal,E,VS1,61.8,55,452,4.09,4.13,2.54
1.01,Very Good,E,VVS1,63.2,54,10498,6.41,6.31,4.02
0.35,Very Good,G,VS1,61.2,56,706,4.53,4.56,2.78
1.59,Very Good,D,SI2,59.9,59,10685,7.6,7.52,4.53
0.7,Good,F,SI2,64.3,57,1851,5.6,5.53,3.58
0.33,Ideal,G,VS1,62.3,57,854,4.42,4.38,2.74
1,Premium,E,SI2,62.7,58,4579,6.41,6.34,4
0.75,Premium,I,SI1,62.5,58,2122,5.77,5.82,3.62
0.33,Ideal,D,SI2,62,57,492,4.45,4.46,2.76
1.13,Ideal,G,VVS1,59.6,57,9872,6.89,6.81,4.08
1.51,Very Good,J,SI2,61.9,59,6546,7.26,7.31,4.51
1.04,Very Good,D,SI2,58.2,59,4252,6.62,6.67,3.87
0.32,Good,D,SI1,63.3,57,589,4.37,4.38,2.77
0.24,Premium,H,VVS1,61.2,58,554,4.01,3.96,2.44
0.7,Ideal,F,VS2,62.8,56,2573,5.7,5.67,3.57
0.38,Ideal,G,VS2,60.4,57,726,4.68,4.71,2.83
0.51,Very Good,H,VS2,63.5,60,1268,5.04,5.01,3.19
0.72,Premium,D,VS1,62.7,56,3601,5.76,5.69,3.59
0.42,Premium,D,VS1,60.8,60,1179,4.84,4.87,2.95
1.02,Very Good,F,SI2,63,58,4162,6.38,6.44,4.04
0.9,Very Good,H,VS1,60.5,63,4201,6.13,6.16,3.72
0.35,Premium,F,VS2,61.5,59,906,4.55,4.53,2.79
1.25,Premium,G,VVS1,62,58,7389,6.96,6.87,4.29
1.13,Premium,I,SI1,61.7,58,4113,6.66,6.62,4.1
0.38,Very Good,F,VVS2,61.9,59.7,1060,4.64,4.65,2.87
0.35,Premium,I,SI1,62.5,58,606,4.53,4.49,2.82
1.53,Fair,J,VS2,64.7,58,6659,7.24,7.22,4.68
0.72,Ideal,E,VVS2,61.7,55,4927,5.76,5.78,3.56
0.3,Premium,D,VS2,62.5,59,911,4.28,4.23,2.66
1.25,Ideal,G,VS2,62.4,55,9030,6.93,6.86,4.3
0.33,Premium,G,VS1,62.2,58,666,4.39,4.42,2.74
0.51,Ideal,D,I1,62.1,56,1071,5.15,5.06,3.17
1.52,Ideal,G,VS1,61.8,56,14482,7.4,7.45,4.59
0.7,Ideal,F,VVS1,61.6,56,4246,5.86,5.71,3.51
1.23,Premium,H,SI2,62.1,61,5648,6.86,6.79,4.24
0.71,Premium,E,VS2,62.3,58,2823,5.71,5.66,3.54
1.3,Good,J,VS2,63.6,59,5269,6.9,6.87,4.38
0.56,Ideal,D,VS2,60.9,56,1963,5.31,5.36,3.25
2.04,Very Good,H,SI2,63.2,58,13790,8.1,8,5.09
0.36,Very Good,H,VVS2,61.3,55,668,4.58,4.64,2.81
0.43,Good,D,SI1,63.8,55,774,4.79,4.8,3.06
0.52,Ideal,F,VS1,61.5,56,2138,5.19,5.22,3.2
0.5,Ideal,D,VS2,60.7,57,1854,5.12,5.22,3.14
1.14,Premium,I,VS2,62.8,60,5008,6.68,6.59,4.17
1.03,Premium,D,SI2,61.7,58,4764,6.5,6.47,4
0.3,Ideal,E,IF,61.1,57,1013,4.31,4.33,2.64
1.02,Good,J,SI2,62.2,61,3639,6.41,6.48,4.01
0.61,Very Good,D,VVS2,59.6,57,2763,5.56,5.58,3.32
1.01,Premium,D,VVS2,62.4,58,10732,6.39,6.44,4
1,Good,G,VS2,62.7,58,5068,6.24,6.33,3.94
0.3,Premium,H,VVS2,60.8,60,605,4.29,4.33,2.62
1.5,Fair,E,VS1,65.4,57,15584,7.14,7.07,4.65
1.12,Ideal,F,VVS2,60.4,56,10236,6.82,6.78,4.11
0.4,Ideal,F,VS1,62.7,55,1050,4.76,4.74,2.98
0.43,Premium,H,VS1,60,59,1113,4.98,4.86,2.95
0.51,Very Good,H,VS2,60.8,58,1414,5.12,5.17,3.13
0.42,Ideal,G,IF,62,57,1310,4.82,4.8,2.98
0.9,Premium,D,SI2,59.8,61,3780,6.21,6.17,3.7
0.3,Good,E,SI1,63.2,56,526,4.27,4.3,2.71
1.23,Premium,F,VS2,60.8,59,8959,6.9,6.94,4.21
0.36,Ideal,G,IF,61.6,55,1148,4.59,4.57,2.82
0.35,Ideal,D,SI1,63,57,827,4.52,4.46,2.83
0.23,Very Good,E,VVS1,60.8,56,499,3.94,3.99,2.41
1,Premium,H,I1,60.4,61,1932,6.39,6.32,3.84
1.1,Ideal,F,VS2,61.4,56,7453,6.64,6.68,4.09
0.31,Premium,E,VS1,61.9,58,734,4.31,4.32,2.67
0.31,Ideal,E,VVS1,61.3,56,1064,4.39,4.43,2.7
0.52,Premium,G,VVS1,59.2,58,2153,5.31,5.28,3.14
2.03,Very Good,I,VS2,59.9,59,16422,8.32,8.24,4.96
2.09,Ideal,H,SI2,62,59,15589,8.15,8.2,5.07
0.55,Very Good,E,VS2,62.1,60,1744,5.19,5.24,3.24
0.42,Premium,D,SI1,61.9,59,810,4.76,4.81,2.96
0.71,Very Good,E,VS1,63.3,59,2946,5.64,5.67,3.58
0.92,Very Good,D,SI2,63.3,59,3823,6.18,6.12,3.89
0.32,Premium,H,SI1,62.3,60,461,4.36,4.4,2.73
1.16,Ideal,I,VS2,61.5,57,5302,6.78,6.75,4.16
0.23,Very Good,E,IF,59.9,58,492,3.98,4.03,2.4
1.53,Very Good,I,SI1,63.1,57,8242,7.34,7.28,4.61
1.5,Fair,H,SI2,59.3,58,7098,7.31,7.37,4.35
0.52,Ideal,G,VS1,61.3,56,1694,5.2,5.17,3.18
1.11,Very Good,F,VVS2,59.4,58,11650,6.74,6.79,4.02
1.56,Ideal,J,SI1,61.8,57,6727,7.44,7.39,4.58
1.69,Premium,F,SI2,62.4,58,9275,7.65,7.57,4.75
0.91,Very Good,J,SI2,62,56,3181,6.18,6.23,3.85
0.35,Ideal,E,VS1,61.9,56,1091,4.55,4.53,2.81
1.22,Ideal,G,VS1,60.7,57,9166,6.94,6.93,4.21
0.73,Good,J,VS2,60.8,63,2098,5.67,5.78,3.48
1,Fair,F,VS1,64.8,61,6115,6.26,6.21,4.04
0.41,Very Good,G,SI2,59.6,60,621,4.82,4.85,2.88
0.7,Ideal,E,VVS2,62.4,54,3585,5.66,5.71,3.55
0.34,Premium,G,VS2,62,59,596,4.43,4.47,2.76
0.61,Ideal,E,VS2,61.3,55,2373,5.48,5.45,3.35
1.2,Ideal,G,VS1,62.4,57,8545,6.78,6.8,4.24
0.31,Good,G,VS1,63.2,57,625,4.28,4.33,2.72
0.35,Good,F,SI1,63.6,54,583,4.51,4.52,2.87
2.01,Premium,I,VS2,60.3,58,17826,8.22,8.16,4.94
0.2,Premium,E,VS2,59.8,62,367,3.79,3.77,2.26
2.53,Premium,H,SI2,61.1,57,15148,8.82,8.76,5.37
0.4,Very Good,G,SI2,61.9,61,596,4.69,4.74,2.92
0.32,Ideal,G,IF,61.9,53,918,4.42,4.47,2.75
0.9,Ideal,H,VVS2,62,57,4924,6.15,6.2,3.83
1.53,Good,H,I1,62.3,55.6,6361,7.34,7.38,4.59
0.3,Premium,E,VVS2,61.4,60,1013,4.28,4.25,2.62
0.31,Good,D,SI2,63.1,54,462,4.33,4.38,2.75
0.35,Premium,H,SI1,61,62,630,4.56,4.52,2.77
0.3,Ideal,F,SI1,61.9,54,475,4.33,4.36,2.69
1.7,Premium,G,VS1,61.2,57,17492,7.73,7.64,4.7
0.7,Very Good,J,VS2,61.1,61,1952,5.64,5.69,3.46
0.27,Ideal,G,VS2,61.4,55,459,4.19,4.21,2.58
0.24,Very Good,E,VVS2,60.6,62,478,4.03,4.06,2.45
1.56,Premium,H,SI1,61.9,59,10990,7.46,7.4,4.6
0.34,Ideal,G,SI1,61.8,54.4,531,4.49,4.52,2.79
1.13,Fair,F,VS1,64.5,55,7335,6.62,6.56,4.25
1.01,Ideal,E,SI2,61.1,59,4787,6.53,6.47,3.97
0.33,Premium,H,IF,60.3,59,1114,4.49,4.47,2.7
0.9,Very Good,G,VVS2,59.8,60,5102,6.23,6.28,3.74
1.25,Good,J,SI1,63.6,57,5110,6.86,6.81,4.35
0.31,Ideal,D,VS2,61.9,56,942,4.38,4.34,2.7
1.11,Premium,I,SI2,61.8,58,4196,6.66,6.61,4.1
1,Fair,F,SI1,64.8,59,5292,6.29,6.24,4.06
0.97,Very Good,G,SI1,61,59,4504,6.36,6.4,3.89
1.54,Very Good,G,VS1,63.4,57,14433,7.28,7.36,4.64
0.51,Good,D,SI1,63.4,59,1193,5.07,5.02,3.2
0.32,Ideal,I,VS2,61.5,56,576,4.41,4.4,2.71
0.34,Ideal,D,I1,62.5,57,530,4.49,4.47,2.8
0.72,Ideal,D,VS1,62.3,54,3622,5.74,5.79,3.59
0.5,Very Good,E,VVS1,60.1,56,2495,5.16,5.19,3.11
0.3,Ideal,H,VVS2,62.5,54,567,4.3,4.3,2.7
0.31,Ideal,G,SI1,62.2,55,593,4.36,4.35,2.71
1.09,Ideal,H,SI1,61.1,57,5219,6.69,6.6,4.1
0.3,Ideal,F,IF,60,59,873,4.37,4.39,2.63
0.34,Premium,J,VS2,62.3,60,417,4.46,4.49,2.79
1.02,Very Good,E,VS2,63.2,60,6580,6.34,6.29,3.99
1.58,Ideal,I,VVS1,61.9,55,11435,7.47,7.51,4.64
1.2,Premium,J,VS2,62.6,57,5053,6.8,6.72,4.23
0.3,Ideal,E,VVS1,61.2,57,838,4.32,4.34,2.65
0.71,Premium,D,VS1,59.2,59,3718,5.9,5.85,3.48
0.31,Ideal,D,SI1,61.8,56,732,4.37,4.34,2.69
0.52,Premium,G,VVS2,61.2,59,2012,5.16,5.14,3.15
2.06,Premium,I,VS1,58.4,55,15393,8.42,8.35,4.9
0.7,Very Good,F,SI1,62.3,58,2161,5.62,5.78,3.55
0.3,Good,G,VS2,63.5,54,526,4.25,4.28,2.71
1.45,Fair,F,SI2,64.4,58,6455,7.17,7.11,4.59
1.06,Very Good,G,VS1,60.5,56,6707,6.65,6.6,4.01
0.51,Very Good,D,SI1,63.5,55,1574,5.09,5.08,3.23
1.73,Ideal,E,SI1,61.9,57,15842,7.74,7.66,4.77
0.42,Ideal,G,IF,62.4,57,1394,4.79,4.82,3
0.73,Premium,J,SI1,58.2,59,1905,5.99,5.91,3.46
1.02,Premium,F,VS1,60.8,59,7677,6.49,6.46,3.94
1.23,Premium,I,SI1,60.3,60,4133,6.95,6.88,4.17
2.11,Very Good,I,SI2,63.8,54,12937,8.13,8.19,5.21
0.38,Very Good,D,SI1,62.2,53.8,831,4.65,4.69,2.9
1.04,Very Good,H,SI1,59.7,60,4682,6.55,6.58,3.92
2.01,Fair,I,VS2,66.3,57,15729,7.79,7.74,5.15
1.9,Ideal,I,SI2,60.9,55,12165,8,8.06,4.89
0.92,Good,E,SI1,63.2,58,4258,6.16,6.18,3.9
0.77,Very Good,J,SI1,62.3,58,1807,5.86,5.89,3.66
1.5,Premium,G,VS1,62.4,60,13009,7.29,7.22,4.53
1.26,Ideal,G,VVS1,62.1,57,10720,6.91,7.01,4.32
2.08,Ideal,G,SI2,61.8,56,18124,8.22,8.18,5.07
0.51,Ideal,E,VVS2,61.7,57,2209,5.11,5.14,3.16
1.23,Ideal,H,SI1,61.7,55,6750,6.94,6.9,4.27
0.31,Ideal,G,VVS2,61.5,57,671,4.32,4.36,2.67
0.35,Very Good,H,VS2,60.1,56,567,4.61,4.64,2.78
1.13,Ideal,I,VS2,62.3,56,4940,6.63,6.73,4.16
1,Fair,G,VS1,63.1,63,4630,6.38,6.29,4
0.5,Very Good,H,VS2,61.8,63,1178,5.08,5.05,3.13
0.91,Premium,H,SI1,60.9,58,3475,6.22,6.26,3.8
0.32,Ideal,D,SI2,59.8,57,612,4.46,4.4,2.65
0.54,Very Good,F,SI1,63,57,1255,5.18,5.23,3.28
1.38,Very Good,F,VS1,61.4,61,11286,7.1,7.14,4.37
0.51,Ideal,G,VVS1,61,57,2111,5.17,5.16,3.15
1.01,Premium,G,SI2,60.1,61,4327,6.6,6.55,3.95
2.02,Premium,J,SI2,63,58,8640,8.07,8.02,5.07
1.56,Very Good,H,VS1,63.9,57,11804,7.3,7.37,4.69
1.73,Premium,D,SI1,60.6,59,12770,7.76,7.68,4.68
1.07,Premium,H,SI1,62.1,58,5055,6.56,6.49,4.05
2.04,Premium,J,VS1,62.6,58,14660,8.11,8.06,5.06
1.5,Premium,G,SI1,60.2,61,10219,7.28,7.2,4.36
0.7,Very Good,E,VVS1,62.5,56,3724,5.63,5.7,3.54
0.51,Ideal,D,SI2,62.5,55,1264,5.12,5.15,3.21
1,Ideal,H,SI1,60.3,56,4702,6.52,6.54,3.94
0.31,Premium,D,SI1,61.4,58,571,4.33,4.36,2.67
0.7,Fair,D,SI2,71.6,55,1696,5.47,5.28,3.85
0.7,Ideal,F,SI1,59.9,57,2264,5.74,5.82,3.46
0.56,Ideal,F,VS1,61.7,56,2016,5.32,5.28,3.27
0.55,Ideal,G,VVS2,62.5,56,2129,5.25,5.22,3.27
0.42,Premium,G,SI1,62.7,59,717,4.72,4.75,2.97
1.24,Very Good,H,SI1,60.8,60,7050,6.9,6.94,4.21
0.28,Ideal,F,IF,62,53,825,4.23,4.29,2.64
0.77,Ideal,G,SI1,61.5,56,3253,5.89,5.92,3.63
0.3,Premium,E,SI1,61.3,60,675,4.28,4.24,2.61
1.1,Ideal,G,VS1,61.9,55,7528,6.59,6.63,4.09
0.31,Ideal,E,VS1,61.3,55,800,4.4,4.43,2.7
1.5,Good,D,SI1,63.4,63,9718,7.19,7.23,4.57
0.33,Ideal,E,VVS1,61.6,56,1207,4.44,4.46,2.74
1.7,Very Good,H,VS2,61.8,59,12257,7.58,7.66,4.71
0.57,Very Good,E,SI2,61.2,57,1315,5.31,5.35,3.26
0.45,Fair,F,VS2,67,56,923,4.77,4.7,3.17
1.04,Premium,F,SI1,59.8,59,5284,6.61,6.56,3.94
1,Good,E,SI2,59.9,63,4184,6.45,6.5,3.88
0.36,Premium,I,SI1,60.4,60,624,4.62,4.58,2.78
0.73,Fair,G,SI2,64.7,60,2050,5.68,5.64,3.66
2,Very Good,J,SI2,59.8,60,11792,8.09,8.13,4.85
0.71,Very Good,E,VS1,62.1,60,3192,5.65,5.71,3.53
0.3,Good,G,VS2,63.1,56,526,4.25,4.28,2.69
0.25,Ideal,G,VS1,62.7,56,454,4.01,4.04,2.52
0.23,Very Good,F,VVS2,61.5,56,583,3.95,4,2.44
1.21,Ideal,D,VVS2,62.8,55,12657,6.77,6.84,4.26
0.38,Ideal,G,SI1,60.4,58,658,4.7,4.74,2.85
1.02,Very Good,D,SI1,63.3,60,5778,6.33,6.38,4.02
0.52,Ideal,I,SI1,61.8,56,1075,5.15,5.18,3.19
0.5,Ideal,F,VS2,62.7,56,1691,5.07,5.1,3.19
0.57,Ideal,F,VS2,62.3,55,1637,5.3,5.36,3.32
0.3,Premium,H,VS1,63,58,675,4.28,4.23,2.68
0.9,Very Good,J,VS1,62.3,56,3231,6.19,6.23,3.87
1.1,Good,G,SI2,60.5,61,4457,6.69,6.74,4.06
0.93,Premium,E,SI1,61.4,57,4229,6.34,6.23,3.86
1.5,Premium,E,SI2,59.5,55,10080,7.51,7.47,4.46
0.3,Very Good,G,VVS1,63.1,56,1013,4.28,4.25,2.69
1.2,Premium,H,VS1,61.3,58,6626,6.85,6.81,4.19
1.12,Premium,I,SI1,61.3,58,4077,6.69,6.68,4.1
1.06,Premium,F,VS2,61.2,57,5942,6.64,6.49,4.02
2.01,Ideal,I,SI2,62.9,56,13574,8.06,8.03,5.06
0.5,Ideal,E,VS1,62.5,57,1649,4.99,5.05,3.14
0.32,Ideal,F,VVS2,60.4,57,829,4.46,4.47,2.7
0.78,Very Good,F,SI1,62.4,58,3045,5.83,5.86,3.65
0.31,Ideal,F,VS2,62.1,57,802,4.36,4.34,2.7
1.03,Ideal,H,VS2,62.3,56,5364,6.46,6.44,4.02
0.75,Very Good,G,SI1,60.9,58,2545,5.84,5.88,3.57
0.5,Premium,E,VS2,60.1,61,1420,5.2,5.15,3.11
0.32,Premium,H,SI1,61.3,60,449,4.36,4.42,2.69
0.42,Very Good,E,SI1,60,61,743,4.85,4.88,2.92
1.01,Very Good,J,VS1,59.5,59,4588,6.54,6.6,3.91
0.7,Ideal,F,VS2,61.4,56,3064,5.72,5.75,3.52
0.9,Very Good,H,SI1,63,58,3643,6.13,6.18,3.88
0.56,Ideal,F,VVS2,61.9,56,2462,5.29,5.32,3.28
0.33,Ideal,H,VVS2,61.6,55,633,4.48,4.51,2.77
1.03,Very Good,D,SI1,62.6,58,5498,6.44,6.49,4.05
1.21,Ideal,G,VVS1,61.4,58,10483,6.85,6.89,4.22
1.21,Premium,J,SI1,62.2,57,5266,6.84,6.76,4.23
0.57,Ideal,E,VS2,61.6,56,1728,5.34,5.38,3.3
0.71,Ideal,D,VS2,60.4,57,3135,5.77,5.82,3.5
0.5,Good,F,SI1,63.1,61,1043,5.06,4.98,3.17
0.78,Ideal,G,VS2,62.6,57,3325,5.87,5.91,3.69
0.32,Ideal,D,VS2,62.1,53,671,4.42,4.44,2.75
0.3,Ideal,E,VVS1,61.8,56,895,4.3,4.31,2.66
0.68,Premium,G,VS2,61.6,59,2081,5.65,5.64,3.48
0.54,Ideal,G,VVS2,61.8,56,1985,5.23,5.25,3.24
0.3,Ideal,E,VS1,61.1,58,673,4.3,4.34,2.64
0.3,Ideal,F,VS1,61.9,55,673,4.28,4.3,2.66
0.38,Ideal,E,SI2,62.1,54.1,628,4.64,4.69,2.9
1.5,Premium,I,VS1,62.7,59,10080,7.3,7.25,4.56
1.01,Premium,D,VS1,61.1,56,6733,6.43,6.36,3.91
1.36,Premium,G,I1,62.1,57,4509,7.11,7.06,4.4
1.46,Premium,I,SI2,62.4,59,5519,7.21,7.16,4.49
1.09,Premium,H,VS1,60.2,59,5860,6.71,6.67,4.03
0.77,Ideal,G,VS2,62.1,56,3114,5.85,5.88,3.64
0.26,Very Good,G,VVS2,62.3,56,486,4.07,4.09,2.54
1.5,Ideal,D,SI2,63,56,10122,7.3,7.25,4.58
0.32,Ideal,D,SI1,62,57,589,4.37,4.4,2.72
1.93,Ideal,F,SI1,59.5,60,18306,8.1,8.13,4.83
0.31,Very Good,G,VS2,63,54,544,4.33,4.37,2.74
1.01,Premium,D,VVS2,60.2,58,10147,6.57,6.51,3.94
1.21,Ideal,H,VVS2,60.4,57,7954,6.9,6.93,4.18
0.38,Ideal,J,VVS2,61.4,56,629,4.68,4.7,2.88
0.9,Very Good,G,SI2,62.1,58,3303,6.08,6.13,3.79
0.75,Premium,H,SI2,62.3,57,2234,5.79,5.73,3.59
1,Good,G,VS2,63.7,57,5484,6.32,6.28,4.01
1.03,Very Good,I,SI2,63.5,58,5884,6.38,6.4,4.06
1.02,Ideal,H,VS2,61.2,56,5312,6.53,6.48,3.98
1.5,Good,J,SI1,64,56,5914,7.21,7.16,4.6
0.3,Very Good,E,SI2,61.7,61,421,4.29,4.33,2.66
1.22,Premium,I,VS2,59.3,59,6156,7.01,6.96,4.14
1.71,Premium,D,SI2,60.6,60,13325,7.76,7.69,4.68
0.71,Very Good,I,VS2,60.4,60,2185,5.72,5.8,3.48
1.11,Very Good,J,SI1,62,58,3901,6.57,6.62,4.09
0.5,Good,D,SI1,63.7,56,1436,5.05,5.09,3.23
0.34,Good,H,VS1,64,58,689,4.49,4.45,2.86
1.59,Ideal,G,VVS1,59.9,56,16599,7.57,7.64,4.55
0.3,Good,G,VS1,63.1,59,605,4.25,4.27,2.69
0.94,Good,D,SI2,57.9,61,3125,6.48,6.43,3.74
0.51,Premium,F,VS1,61.4,58,1744,5.15,5.18,3.17
0.35,Ideal,F,VS2,62.4,55,906,4.53,4.51,2.82
0.42,Good,H,SI1,63.6,57,653,4.74,4.79,3.03
0.34,Very Good,G,VS1,62.2,55,640,4.48,4.52,2.8
1.03,Ideal,F,VVS2,62.1,55,9131,6.47,6.5,4.03
2.01,Fair,H,SI2,61.2,66,13587,8.21,8.09,4.98
0.6,Fair,G,VVS2,57.9,67,2167,5.66,5.47,3.23
0.5,Premium,G,VVS1,61,60,1966,5.08,5.12,3.11
1.13,Premium,G,SI1,60.9,58,5600,6.75,6.72,4.1
0.38,Ideal,E,VS2,61.5,55,813,4.67,4.7,2.88
0.76,Ideal,E,SI1,61.8,57,3170,5.84,5.87,3.62
0.51,Ideal,H,SI1,61.3,57,1161,5.1,5.14,3.14
0.55,Ideal,H,VS2,62,55,1664,5.31,5.28,3.28
0.72,Fair,H,SI2,65.9,57,2203,5.6,5.54,3.67
0.7,Good,H,VS2,58.9,65,2187,5.69,5.76,3.37
0.38,Ideal,D,VS1,62.1,53.9,1092,4.65,4.67,2.9
0.32,Premium,G,VS1,62.1,58,828,4.39,4.37,2.72
0.71,Very Good,D,SI1,63.6,58,2764,5.64,5.68,3.6
0.4,Ideal,G,VS1,61.8,57,868,4.73,4.75,2.93
0.38,Premium,D,SI1,60.7,60,941,4.69,4.63,2.83
0.9,Good,E,SI2,64.1,57,3084,6.09,6.07,3.9
2.27,Ideal,I,SI2,60.5,55,12939,8.63,8.53,5.19
0.91,Premium,H,SI1,62.2,60,3669,6.22,6.16,3.85
1.32,Premium,F,VS2,60.9,59,10423,7.12,7.06,4.32
0.31,Very Good,E,VVS2,62.4,56,749,4.32,4.35,2.7
0.87,Premium,F,SI2,61.6,58,2999,6.14,6.1,3.77
1.29,Good,I,I1,64.2,54,3098,6.93,6.83,4.42
1.04,Ideal,G,VS2,60.5,57,6955,6.56,6.62,3.99
1.13,Very Good,I,SI2,59.9,57,4195,6.76,6.8,4.06
0.36,Premium,E,VS1,61.3,58,852,4.56,4.58,2.8
0.52,Premium,D,VS2,60.9,58,1619,5.22,5.16,3.16
0.6,Premium,G,VVS2,59.7,60,2105,5.55,5.5,3.3
1.55,Ideal,J,VS1,59.5,60,8959,7.53,7.56,4.49
0.54,Ideal,E,SI1,61.7,56,1571,5.27,5.24,3.24
1.07,Premium,I,VS2,60.7,58,4491,6.62,6.66,4.03
1.28,Ideal,H,I1,61.9,56,3355,6.95,6.91,4.29
0.3,Ideal,H,VVS1,62.3,55,665,4.3,4.33,2.69
1.01,Good,I,SI2,64.1,58,3349,6.26,6.31,4.03
0.49,Premium,G,VS2,61,59,1225,5.13,5.06,3.11
1,Good,J,SI2,57.8,61,3536,6.54,6.58,3.79
1,Good,E,SI1,60.4,61,4916,6.37,6.44,3.87
0.59,Very Good,E,SI2,60.5,58,1325,5.43,5.51,3.31
